6960,"Amenthes Cavi","Mars",1330.5,16.23,114.52,"Planetocentric  +East  0 - 360","Cavus, cavi",
227,"Amenthes Fossae","Mars",850,9.07,102.68,"Planetocentric  +East  0 - 360","Fossa, fossae",
228,"Amenthes Planum","Mars",0,3.4,105.92,"Planetocentric  +East  0 - 360","Planum, plana",
229,"Amenthes Rupes","Mars",335.25,1.51,110.68,"Planetocentric  +East  0 - 360","Rupes, rupēs",
6776,"[Amet]","Mars",0,23.45,302.6,"Planetocentric  +East  0 - 360","Crater, craters",
6777,"[Ammonii Rupes]","Mars",100,-6.52,175.8,"Planetocentric  +East  0 - 360","Rupes, rupēs",
242,"Amphitrites Patera","Mars",129.8,-58.7,60.87,"Planetocentric  +East  0 - 360","Patera, paterae",
246,"Amsterdam","Mars",1.66,23,313,"Planetocentric  +East  0 - 360","Crater, craters",
15534,"Andapa","Mars",11,-5.33,355.27,"Planetocentric  +East  0 - 360","Crater, craters",
273,"Angu","Mars",2.08,20.01,105.64,"Planetocentric  +East  0 - 360","Crater, craters",
275,"[Angusta Patera]","Mars",15.4,-80.59,280.5,"Planetocentric  +East  0 - 360","Patera, paterae",
14177,"Angustus Labyrinthus","Mars",67.52,-81.62,296.61,"Planetocentric  +East  0 - 360","Labyrinthus, labyrinthi",
277,"Aniak","Mars",50.97,-31.84,290.44,"Planetocentric  +East  0 - 360","Crater, craters",
279,"Anio Valles","Mars",54,37.75,55.89,"Planetocentric  +East  0 - 360","Vallis, valles",
281,"Annapolis","Mars",1.11,23.16,312.27,"Planetocentric  +East  0 - 360","Crater, craters",
6781,"[Anseris Cavus]","Mars",35,-29.71,95.5,"Planetocentric  +East  0 - 360","Cavus, cavi",
288,"Anseris Mons","Mars",52.51,-29.81,86.65,"Planetocentric  +East  0 - 360","Mons, montes",
297,"Antoniadi","Mars",400.95,21.38,60.83,"Planetocentric  +East  0 - 360","Crater, craters",
15090,"Aonia Mons","Mars",27.07,-53.33,272.08,"Planetocentric  +East  0 - 360","Mons, montes",
310,"Aonia Planum","Mars",563.45,-57.9,281.33,"Planetocentric  +East  0 - 360","Planum, plana",
311,"Aonia Terra","Mars",3873.48,-60.2,262.95,"Planetocentric  +East  0 - 360","Terra, terrae",
15089,"Aonia Tholus","Mars",53.69,-59.04,279.96,"Planetocentric  +East  0 - 360","Tholus, tholi",
312,"Aonium Sinus","Mars",0,-44.66,255,"Planetocentric  +East  0 - 360","Albedo Feature",
319,"Apia","Mars",10.06,-37.28,89.02,"Planetocentric  +East  0 - 360","Crater, craters",
6782,"[Apodis Catena]","Mars",0,-26.93,103.2,"Planetocentric  +East  0 - 360","Catena, catenae",
14307,"Apollinaris Mons","Mars",275.4,-9.17,174.79,"Planetocentric  +East  0 - 360","Mons, montes",
323,"Apollinaris Patera","Mars",89.6,-8.57,174.18,"Planetocentric  +East  0 - 360","Patera, paterae",
324,"Apollinaris Sulci","Mars",188.64,-11.06,177.47,"Planetocentric  +East  0 - 360","Sulcus, sulci",
325,"Apollinaris Tholus","Mars",32.39,-17.64,175.75,"Planetocentric  +East  0 - 360","Tholus, tholi",
332,"Apsus Vallis","Mars",121.56,34.91,134.99,"Planetocentric  +East  0 - 360","Vallis, valles",
333,"Apt","Mars",9.57,39.88,350.53,"Planetocentric  +East  0 - 360","Crater, craters",
335,"Arabia","Mars",0,19.78,30,"Planetocentric  +East  0 - 360","Albedo Feature",
336,"Arabia Terra","Mars",4851.74,21.25,5.72,"Planetocentric  +East  0 - 360","Terra, terrae",
338,"Arago","Mars",152.35,10.22,29.93,"Planetocentric  +East  0 - 360","Crater, craters",
339,"Aram Chaos","Mars",283.81,2.52,337.61,"Planetocentric  +East  0 - 360","Chaos, chaoses",
15239,"Aram Dorsum","Mars",83.31,7.8,348.76,"Planetocentric  +East  0 - 360","Dorsum, dorsa",
